"determinant"	"cdr"	"mean_index"	"n"	"sd"	"se"	"min"	"max"
"Age "	0	77.1553398058252	206	8.0894478470001	0.563618538239522	60	97
"Age "	0.5	77.4363636363636	110	7.30153593585067	0.696174135886592	62	92
"Age "	1	74.3714285714286	35	6.86459678900591	1.16032863664481	61	96
"Age "	2	85	3	11.2694276695846	6.50640709864771	78	98
"MMSE "	0	29.2233009708738	206	0.920572873971277	0.0641393513357105	25	30
"MMSE "	0.5	26.4636363636364	110	3.04003039798682	0.289855525464982	17	30
"MMSE "	1	20.3142857142857	35	5.2735267168768	0.891388708438587	4	30
"MMSE "	2	20.3333333333333	3	5.03322295684717	2.90593262902712	15	25
"eTIV "	0	1486.85922330097	206	179.998630312888	12.5410988266261	1106	2004
"eTIV "	0.5	1482.45454545455	110	174.035988915698	16.5936804613478	1143	1928
"eTIV "	1	1528	35	157.844301542412	26.680556606644	1274	1957
"eTIV "	2	1538	3	157.445228571716	90.9010450985026	1401	1710
"nWBV "	0	0.74045145631068	206	0.0373496997449718	0.00260227688862011	0.644	0.837
"nWBV "	0.5	0.720518181818182	110	0.0345072075487234	0.00329013314570409	0.646	0.806
"nWBV "	1	0.699057142857143	35	0.0224564190445075	0.0037958276202864	0.657	0.756
"nWBV "	2	0.706666666666667	3	0.0503322295684717	0.0290593262902712	0.66	0.76
"ASF "	0	1.1971067961165	206	0.140572134949709	0.00979412473089188	0.876	1.587
"ASF "	0.5	1.19950909090909	110	0.136539522487084	0.0130185326644892	0.91	1.535
"ASF "	1	1.16002857142857	35	0.114670752646894	0.0193828948984887	0.897	1.377
"ASF "	2	1.149	3	0.114686529287445	0.0662142985565303	1.026	1.253
"EDUC "	0	15.1601941747573	206	2.70475064648725	0.188448907083427	8	23
"EDUC "	0.5	14.0090909090909	110	3.17818093071445	0.303027661928997	6	20
"EDUC "	1	14	35	2.49705709138719	0.42207968501718	8	20
"EDUC "	2	17	3	3	1.73205080756888	14	20
"SES "	0	2.33495145631068	206	1.04971157366008	0.0731368708852984	1	5
"SES "	0.5	2.68181818181818	110	1.21860062759488	0.116189010964292	1	5
"SES "	1	2.57142857142857	35	1.24347034037606	0.210184849759509	1	5
"SES "	2	1.66666666666667	3	1.15470053837925	0.666666666666667	1	3
